itemid,subitemid,orderid,title/en,description/en,creator#0/en,creator#1/en,location:placename/en,dateCreated:start,dateCreated:end,filetype,format,subjects,subject#0,subject#1,subject#2,subject#3,subject#4,subject#5,filespec,filename,customtext:LCHSObjectID,rights
01-01-012,,,"View of Moscow, Idaho from the south, 1910","A view of Moscow, Idaho from the south. Showing a dirt road (presumably Main Street) coming into the city. Farmland, residences and businesses can be seen in this image.",,,"Moscow, Idaho",1910,1920,image,image/jpeg,Dirt Road;Moscow; Idaho; farm; Residences; Businesses,Dirt Road,Moscow,Idaho,Farm,Residences,Businesses,01-01-012.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-012.jpg,01-01-012,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-013,,,"View of Moscow, Idaho from the south taken from the end of what is now Boyd Avenue, 1910","A 1910 view of Moscow, Idaho from the south. Showing the south side of the Wylie Lauder home with windmill and outbuildings, as well as downtown in the near distance, West Moscow Mountain in the far distance ",I.L. Osterhout,,"Moscow, Idaho",1910,,image,image/jpeg,Moscow; Idaho; Wylie Lauder home; windmill; farm; panoramic,Moscow,Idaho,Wylie Lauder home,windmill,farm,panoramic,01-01-013.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-013.jpg,01-01-013,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-014,,,"View of Moscow, Idaho from the southwest","A 1910 view of Moscow, Idaho from the southwest, showing the Wylie Lauder barn in foreground, house with windmill and outbuildings.  Shows tree plantation and Moscow downtown and residences in near background, Moscow Mountain in far background",I.L. Osterhout,,"Moscow, Idaho",1910,,image,image/jpeg,Moscow; Idaho; Wylie Lauder home; windmill; farm; tree plantation,Moscow,Idaho,Wylie Lauder home,windmill,farm,tree plantation,01-01-014.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-014.jpg,01-01-013,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-015,,,"View of Moscow, Idaho from the University of Idaho campus looking northeast","1915 postcard view of Moscow Mountain and the buildings along College St, showing the standpipe near downtown Moscow in the distance.  Note to his brother from the photographer.",Ivan Osterhout,,"Moscow, Idaho",1915,,image,image/jpeg,Moscow; University of Idaho; standpipe; Moscow Mountain; Ivan Osterhout; College Avenue,Moscow,University of Idaho,standpipe,Moscow Mountain,Ivan Osterhout,College Avenue,01-01-015.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-015.jpg,01-01-015,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-016,,,"Birds Eye View postcard of Moscow, Idaho looking north","Two identical postcards showing fenced fields in the foreground, schools and standpipe of Moscow, Idaho in the distance.  Different messages on back; to Mrs. Osterhout and Mr. Anton Olson",,,"Moscow, Idaho",1913,1915,image,image/jpeg,Moscow; panoramic; fenced fields; West Moscow Mountain; Forrest Osterhout,Moscow,panoramic,fenced fields,West Moscow Mountain,Forrest Osterhout,,01-01-016.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-016.jpg,01-01-016,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-017,,,"Distant view of Moscow, Idaho","View of fields of the Palouse surrounding Moscow, Idaho",I.L. Osterhout,,"Moscow, Idaho",,,image,image/jpeg,Moscow; panoramic; Fields; Palouse Prairie; postcard,Moscow,panoramic,fields,Palouse Prairie,postcard,,01-01-017.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-017.jpg,01-01-017,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-018,,,"1907 view of Moscow, Idaho residences looking southeast","View of Moscow, Idaho in 1907 looking southeast, including standpipe, schools, residences, courthouse, Tomer's Butte, and Paradise Ridge",,,"Moscow, Idaho",1907,,image,image/jpeg,Moscow; panoramic; Residences; standpipe; Schools; Courthouse,Moscow,panoramic,residences,standpipe,schools,courthouse,01-01-018.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-018.jpg,01-01-018,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-019,,,"View of Moscow, Idaho from University of Idaho campus","Postcard sent in 1907 showing walks on U of I campus and tree-lined streets, looking toward downtown Moscow and Moscow Mountain.  Message below photo is from Delia A. Baker to Mrs. K.G. Osterhout in Nezperce, Idaho.",R.R. Sherfey,,"Moscow, Idaho",1907,,image,image/jpeg,Moscow; panoramic; University of Idaho; tree-lined street,Moscow,panoramic,University of Idaho,tree-lined street,,,01-01-019.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-019.jpg,01-01-019,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-020,,,"Moscow, Idaho in the 1950s","Moscow, Idaho cityscape in the 1950s showing Main Street, Moscow First United Methodist Church, Moscow High School and the Latah County Courthouse among others.",,,"Moscow, Idaho",1950,1960,image,image/jpeg,Moscow; Idaho; Roads; Vehicles; Businesses,Moscow,Idaho,Roads,Vehicles,Businesses,,01-01-020.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-020.jpg,01-01-020,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-021,,,"View of downtown Moscow, Idaho from the courthouse, taken in the 1930s","A view of Moscow, Idaho looking northwest from the courthouse.  Buildings include Korter Creamery, Moscow Hotel, Albert residence, Post Office, Christian Church, Dr. Asbury residence., water tower in distance",Hodgins Foto,,"Moscow, Idaho",1930,1935,image,image/jpeg,Moscow; Post Office; Korter Creamery; First Christian Church; Dr. Asbury residence; Moscow Hotel,Moscow,Post Office,Korter Creamery,First Christian Church,Dr. Asbury residence,Moscow Hotel,01-01-021.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-021.jpg,01-01-021,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-022,,,"View of downtown Moscow, Idaho looking northwest from the courthouse","Early 1900s view of Moscow, Idaho from the courthouse, looking northwest.  Buildings include the city jail, Christian Church, GAR Hall and Theater Building (last two burned in the early 1900s)",,,"Moscow, Idaho",1900,1910,image,image/jpeg,Moscow; Jail; Christian Church; GAR Hall; Theater Building; panoramic,Moscow,Jail,Christian Church,GAR Hall,Theater Building,panoramic,01-01-022.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-022.jpg,01-01-022,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-023,,,"No. 20 Bird's Eye View of the Business Section, Moscow, Idaho",View looking northwest from the courthouse. c 1915.  ,,,"Moscow, Idaho",1915,,image,image/jpeg,Moscow; Fire Department; city jail; First Christian Church; Post Office; panoramic,Moscow,Fire Department,city jail,First Christian Church,post office,panoramic,01-01-023.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-023.jpg,01-01-023,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-024,,,"Aerial view of Moscow, Idaho",Looking north at 6th and Jackson Streets; roof of Mark P. Miller Flour Mill in foreground,,,"Moscow, Idaho",1950,1951,image,image/jpeg,Moscow; flour mill;Aerial View,Moscow,flour mill,aerial view,,,,01-01-024.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-024.jpg,01-01-024,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-025,,,"Aerial view of Moscow, Idaho looking northeast ","Potlatch Lumber Co., 120 West 6th in foreground, later site of Royal Motor Inn; Russell School right center against trees",,,"Moscow, Idaho",1950,1951,image,image/jpeg,Moscow; Russell School; Potlatch Lumber Company; Royal Motor Inn; Downtown,Moscow,Russell School,Potlatch Lumber Company,Royal Motor Inn,downtown,,01-01-025.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-025.jpg,01-01-025,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-026,,,"View of Moscow, Idaho looking north from Taylor Avenue",University of Idaho Forest Nursery Buildings in foreground,,,"Moscow, Idaho",1950,1951,image,image/jpeg,Moscow; University of Idaho; grain elevators; Moscow Mountain; Forest Nursery; Russell School,Moscow,University of Idaho,Grain Elevators,Moscow Mountain,Forest Nursery,Russell School,01-01-026.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-026.jpg,01-01-026,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-027,,,"View of Moscow, Idaho and Moscow Mountain looking northeast",Washburn Wilson Seed Company warehouse (long building in left foreground) and Union Pacific Roundhouse in front,,,"Moscow, Idaho",1950,1951,image,image/jpeg,Moscow; Washburn Wilson Seed Company; Roundhouse; Moscow Mountain,Moscow,Washburn Wilson Seed Company,Roundhouse,Moscow Mountain,,,01-01-027.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-027.jpg,01-01-027,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-028,,,"View of Moscow, Idaho looking northeast from Taylor Avenue","Visible in photo are buildings near grain elevators, east side of Main Street, and north side of Taylor Avenue, including a truck at Sweet Avenue and Main St intersection.",,,"Moscow, Idaho",1980,,image,image/jpeg,Moscow; grain elevators; Sweet Avenue; Moscow Mountain,Moscow,grain elevators,Sweet Avenue,Moscow Mountain,,,01-01-028.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-028.jpg,01-01-028,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-029,,,"View of Moscow, Idaho looking southeast, similar to 01-01-031","Moscow, Idaho looking southeast from halfway up the water tower on C Street",,,"Moscow, Idaho",1980,,image,image/jpeg,Moscow; Downtown; buildings; Paradise Ridge; grain elevators,Moscow,downtown,buildings,Paradise Ridge,grain elevators,,01-01-029.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-029.jpg,01-01-029,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-030,,,"Moscow, Idaho, looking north from Taylor Avenue; closer view of 01-01-028","View of elevators, downtown Moscow and storage building in foreground below Taylor Avenue",,,"Moscow, Idaho",1980,,image,image/jpeg,Moscow; Downtown; buildings; grain elevators; Moscow Mountain,Moscow,downtown,buildings,grain elevators,Moscow Mountain,,01-01-030.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-030.jpg,01-01-030,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-031,,,"View of Moscow, Idaho, similar to 01-01-029","Moscow, Idaho looking southeast from halfway up the water tower on C Street",,,"Moscow, Idaho",1980,,image,image/jpeg,Moscow; Downtown; buildings; grain elevators; Paradise Ridge,Moscow,downtown,buildings,grain elevators,Paradise Ridge,,01-01-031.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-031.jpg,01-01-031,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-032,,,"Picture postcard of Moscow, Idaho in the 1890s","View of early Moscow, Idaho with Moscow Mountain in background, in winter",Erickson ,,"Moscow, Idaho",1890,1895,image,image/jpeg,Moscow; Downtown; buildings; standpipe; Winter; Moscow Mountain,Moscow,downtown,buildings,standpipe,winter,Moscow Mountain,01-01-032.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-032.jpg,01-01-032,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-033,,,"A view of Moscow, Idaho with Tomer's Butte in the background","Moscow, Idaho with Tomer's Butte in the background",,,"Moscow, Idaho",1980,,image,image/jpeg,Moscow; Idaho; Cityscape; Tomer's Butte,Moscow,Idaho,Cityscape,Tomer's Butte,,,01-01-033.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-033.jpg,01-01-033,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-034,,,"Moscow, Idaho looking southeast from C Street","View of Moscow, Idaho showing elevators and buildings",,,"Moscow, Idaho",1980,,image,image/jpeg,Moscow; Idaho; buildings; Paradise Ridge,Moscow,Idaho,buildings,Paradise Ridge,,,01-01-034.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-034.jpg,01-01-034,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-035,,,"Moscow, Idaho looking southeast from C Street, just a little north of 01-01-034 view","Moscow, Idaho looking southeast from C Street, showing grain elevators",,,"Moscow, Idaho",1980,,image,image/jpeg,Moscow; grain elevators; buildings; Paradise Ridge,Moscow,grain elevators,buildings,Paradise Ridge,,,01-01-035.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-035.jpg,01-01-035,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-036,,,"Moscow, Idaho looking east from C Street","View of Moscow, Idaho showing downtown and Tomer's Butte in background",,,"Moscow, Idaho",1980,,image,image/jpeg,Moscow; Tomer's Butte; buildings,Moscow,Tomer's Butte,buildings,,,,01-01-036.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-036.jpg,01-01-036,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-043,,,"Moscow, Idaho, looking northeast from Taylor Avenue","View of Moscow, Idaho, looking northeast to Moscow Mountain, with car and trailer in foreground",,,"Moscow, Idaho",1980,,image,image/jpeg,Moscow; buildings,Moscow,buildings ,,,,,01-01-043.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-043.jpg,01-01-043,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-044,,,"1908 view of Moscow, Idaho looking northeast from downtown","View of Moscow, Idaho showing the top of the Dernham & Kaufmann Building (later David's Department Store) and Irving and Russell Schools in the distance",,,"Moscow, Idaho",1908,,image,image/jpeg,Moscow; Schools; David's Department Store; Dernham and Kauffman building,Moscow,schools,David's Department Store,Dernham and Kauffman building,,,01-01-044.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-044.jpg,01-01-044,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-045,,,"Moscow, Idaho, looking northwest","View of Moscow, Idaho in bleak winter, bare trees and and residences in foreground",,,"Moscow, Idaho",1950,1951,image,image/jpeg,Moscow; Street; Residences; telephone pole,Moscow,street,residences,telephone pole,,,01-01-045.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-045.jpg,01-01-045,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-046,,,"Moscow, Idaho, looking southwest from Crites Growers","View of southwest Moscow, Idaho and University of Idaho from Crites Growers and grain elevators",,,"Moscow, Idaho",1950,1951,image,image/jpeg,"Moscow; Crites-Moscow Growers, Inc.; Moscow Idaho Seed Company; University of Idaho; Railroad; Vehicles",Moscow,"Crites-Moscow Growers, Inc.",Moscow Idaho Seed Company,University of Idaho,railroad,vehicles,01-01-046.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-046.jpg,01-01-046,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-047,,,A view from Moscow looking west,"A view of Moscow, Idaho looking west.  The Union Pacific passenger depot is visible in the foreground south of 6th street between the Union Pacific and Northern Pacific railroad tracks.  The Union Pacific passenger depot was built in 1936 and opened on January 7, 1937.",,,"Moscow, Idaho",,,image,image/jpeg,Moscow; Idaho; Union Pacific; Northern Pacific; Railroad; Passenger Depot,Moscow,Idaho,Union Pacific,Northern Pacific,railroad,Passenger Depot,01-01-047.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-047.jpg,01-01-047,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-048,,,"Moscow, Idaho from the University of Idaho campus","A view of Moscow, Idaho from the University of Idaho campus with Moscow Moutnain in the background.",,,"Moscow, Idaho",1924,,image,image/jpeg,Moscow; Idaho; University of Idaho; Moscow Mountain; Businesses; Students,Moscow,Idaho,University of Idaho,Moscow Mountain,Businesses,Students,01-01-048.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-048.jpg,01-01-048,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-049,,,No. 21 Birds Eye View Moscow Idaho,A view of Moscow Idaho looking at a residential neighborhood looking northeast.  A street can be seen with overhead power and sidewalks.  Street trees are also visible.,,,"Moscow, Idaho",1911,,image,image/jpeg,Moscow; Idaho; Neighborhood; Residential; Street; Moscow Mountain,Moscow,Idaho,Neighborhood,Residential,Street,Moscow Mountain,01-01-049.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-049.jpg,01-01-049,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-051,,,"A view of Moscow, Idaho in 1887","A view of Moscow, Idaho in 1887 looking northwest.",,,"Moscow, Idaho",1887,,image,image/jpeg,Moscow; Idaho; City,Moscow,Idaho,City,,,,01-01-051.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-051.jpg,01-01-051,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-052,,,"Moscow, Idaho in 1885","Moscow, Idaho in 1885, buildings and fences are clearly visible.  In the foreground of the image a creek is meandering on the outskirts of town presumably Paradise Creek.",,,"Moscow, Idaho",1885,,image,image/jpeg,Moscow; Idaho; Paradise Creek,Moscow,Idaho,Paradise Creek,,,,01-01-052.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-052.jpg,01-01-052,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-053,,,"An enlarged view of Moscow, Idaho in 1885","An enlarged view of Moscow, Idaho in 1885 showing railroad cars, warehouses and businesses.",,,"Moscow, Idaho",1885,,image,image/jpeg,Moscow; Idaho; Railroad; Warehouses,Moscow,Idaho,Railroad,Warehouses,,,01-01-053.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-053.jpg,01-01-053,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-054,,,"Moscow, Idaho in 1887","A view of Moscow, Idaho in 1887 showing churches, warehouses and residences, looking north.",,,"Moscow, Idaho",1887,,image,image/jpeg,Moscow; Idaho; Churches; Warehouses; Moscow Mountain,Moscow,Idaho,Churches,Warehouses,Moscow Mountain,,01-01-054.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-054.jpg,01-01-054,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-055,,,"Looking east within Moscow, Idaho","A view within Moscow, looking east from ridge between Lauder and Taylor Avenues.  Lauder Ave. at right, Steiner Ave. across Highway 95; Tomer's Butte in background; the cemetery can be seen to extreme left in background.  This image also features farms, houses and barns in the area.  One residence has laundry hanging outside.  A vegetable garden can be seen on the left.",,,"Moscow, Idaho",1950,1951,image,image/jpeg,Moscow; Idaho; Homes; Barn; Tomer's Butte,Moscow,Idaho,Homes,Barn,Tomer's Butte,,01-01-055.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-055.jpg,01-01-055,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-056,,,34. Looking across Moscow from our yard.,"A stereoscopic view across Moscow, Idaho from the photographer's yard in the snow.",,,"Moscow, Idaho",,,image,image/jpeg,Moscow; Idaho; Cityscape; Snow;Stereoscopic,Moscow,Idaho,Cityscape,Snow,Stereoscopic,,01-01-056.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-056.jpg,01-01-056,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
01-01-057,,,"Moscow, Idaho looking southwest from A Street","A stereoscopic view southwest from A Street in Moscow, Idaho in the snow.",,,"Moscow, Idaho",,,image,image/jpeg,Moscow; Idaho; Cityscape; Snow;Stereoscopic,Moscow,Idaho,Cityscape,Snow,Stereoscopic,,01-01-057.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/demo-moscow/01-01-057.jpg,01-01-057,"Copyright, Latah County Historical Society Collections.  All Rights reserved, contact the Latah County Historical Society for reproduction information."
